anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde.1;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde.1;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde.1;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term 151_en;anbefalt term 151_nn;anbefalt term 151_nb;tillatt term 151_nb;tillatt term 151_nn;tillatt term 151_en;frarådet term 151_nb;frarådet term 151_nn;frarådet term 151_en;definisjon 151_nb;definisjon 151_nn;definisjon 151_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 151_nb;definisjon for allmennheten 151_nn;definisjon for allmennheten 151_en;egendefinert;;;definisjon for spesialister 151_nb;definisjon for spesialister 151_nn;definisjon_for_spesialister151_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad151_nb;merknad151_nn;merknad151_en;eksempel151_nb;eksempel151_nn;eksempel151_en;14;14;14;http://lenketilverdiomraade151.no;Tittel verdiområde 151;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 152_en;anbefalt term 152_nn;anbefalt term 152_nb;tillatt term 152_nb;tillatt term 152_nn;tillatt term 152_en;frarådet term 152_nb;frarådet term 152_nn;frarådet term 152_en;definisjon 152_nb;definisjon 152_nn;definisjon 152_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 152_nb;definisjon for allmennheten 152_nn;definisjon for allmennheten 152_en;egendefinert;;;definisjon for spesialister 152_nb;definisjon for spesialister 152_nn;definisjon_for_spesialister152_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad152_nb;merknad152_nn;merknad152_en;eksempel152_nb;eksempel152_nn;eksempel152_en;40;40;40;http://lenketilverdiomraade152.no;Tittel verdiområde 152;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 153_en;anbefalt term 153_nn;anbefalt term 153_nb;tillatt term 153_nb;tillatt term 153_nn;tillatt term 153_en;frarådet term 153_nb;frarådet term 153_nn;frarådet term 153_en;definisjon 153_nb;definisjon 153_nn;definisjon 153_en;egendefinert;;;definisjon for allmennheten 153_nb;definisjon for allmennheten 153_nn;definisjon for allmennheten 153_en;egendefinert;;;definisjon for spesialister 153_nb;definisjon for spesialister 153_nn;definisjon_for_spesialister153_en;egendefinert;;;merknad153_nb;merknad153_nn;merknad153_en;eksempel153_nb;eksempel153_nn;eksempel153_en;30;30;30;http://lenketilverdiomraade153.no;Tittel verdiområde 153;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 154_en;anbefalt term 154_nn;anbefalt term 154_nb;tillatt term 154_nb;tillatt term 154_nn;tillatt term 154_en;frarådet term 154_nb;frarådet term 154_nn;frarådet term 154_en;definisjon 154_nb;definisjon 154_nn;definisjon 154_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 154_nb;definisjon for allmennheten 154_nn;definisjon for allmennheten 154_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 154_nb;definisjon for spesialister 154_nn;definisjon_for_spesialister154_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad154_nb;merknad154_nn;merknad154_en;eksempel154_nb;eksempel154_nn;eksempel154_en;33;33;33;http://lenketilverdiomraade154.no;Tittel verdiområde 154;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 155_en;anbefalt term 155_nn;anbefalt term 155_nb;tillatt term 155_nb;tillatt term 155_nn;tillatt term 155_en;frarådet term 155_nb;frarådet term 155_nn;frarådet term 155_en;definisjon 155_nb;definisjon 155_nn;definisjon 155_en;egendefinert;;;definisjon for allmennheten 155_nb;definisjon for allmennheten 155_nn;definisjon for allmennheten 155_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 155_nb;definisjon for spesialister 155_nn;definisjon_for_spesialister155_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad155_nb;merknad155_nn;merknad155_en;eksempel155_nb;eksempel155_nn;eksempel155_en;47;47;47;http://lenketilverdiomraade155.no;Tittel verdiområde 155;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 156_en;anbefalt term 156_nn;anbefalt term 156_nb;tillatt term 156_nb;tillatt term 156_nn;tillatt term 156_en;frarådet term 156_nb;frarådet term 156_nn;frarådet term 156_en;definisjon 156_nb;definisjon 156_nn;definisjon 156_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 156_nb;definisjon for allmennheten 156_nn;definisjon for allmennheten 156_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 156_nb;definisjon for spesialister 156_nn;definisjon_for_spesialister156_en;egendefinert;;;merknad156_nb;merknad156_nn;merknad156_en;eksempel156_nb;eksempel156_nn;eksempel156_en;10;10;10;http://lenketilverdiomraade156.no;Tittel verdiområde 156;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 157_en;anbefalt term 157_nn;anbefalt term 157_nb;tillatt term 157_nb;tillatt term 157_nn;tillatt term 157_en;frarådet term 157_nb;frarådet term 157_nn;frarådet term 157_en;definisjon 157_nb;definisjon 157_nn;definisjon 157_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 157_nb;definisjon for allmennheten 157_nn;definisjon for allmennheten 157_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 157_nb;definisjon for spesialister 157_nn;definisjon_for_spesialister157_en;egendefinert;;;merknad157_nb;merknad157_nn;merknad157_en;eksempel157_nb;eksempel157_nn;eksempel157_en;7;7;7;http://lenketilverdiomraade157.no;Tittel verdiområde 157;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 158_en;anbefalt term 158_nn;anbefalt term 158_nb;tillatt term 158_nb;tillatt term 158_nn;tillatt term 158_en;frarådet term 158_nb;frarådet term 158_nn;frarådet term 158_en;definisjon 158_nb;definisjon 158_nn;definisjon 158_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 158_nb;definisjon for allmennheten 158_nn;definisjon for allmennheten 158_en;egendefinert;;;definisjon for spesialister 158_nb;definisjon for spesialister 158_nn;definisjon_for_spesialister158_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad158_nb;merknad158_nn;merknad158_en;eksempel158_nb;eksempel158_nn;eksempel158_en;25;25;25;http://lenketilverdiomraade158.no;Tittel verdiområde 158;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 159_en;anbefalt term 159_nn;anbefalt term 159_nb;tillatt term 159_nb;tillatt term 159_nn;tillatt term 159_en;frarådet term 159_nb;frarådet term 159_nn;frarådet term 159_en;definisjon 159_nb;definisjon 159_nn;definisjon 159_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 159_nb;definisjon for allmennheten 159_nn;definisjon for allmennheten 159_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 159_nb;definisjon for spesialister 159_nn;definisjon_for_spesialister159_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad159_nb;merknad159_nn;merknad159_en;eksempel159_nb;eksempel159_nn;eksempel159_en;27;27;27;http://lenketilverdiomraade159.no;Tittel verdiområde 159;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 160_en;anbefalt term 160_nn;anbefalt term 160_nb;tillatt term 160_nb;tillatt term 160_nn;tillatt term 160_en;frarådet term 160_nb;frarådet term 160_nn;frarådet term 160_en;definisjon 160_nb;definisjon 160_nn;definisjon 160_en;egendefinert;;;definisjon for allmennheten 160_nb;definisjon for allmennheten 160_nn;definisjon for allmennheten 160_en;egendefinert;;;definisjon for spesialister 160_nb;definisjon for spesialister 160_nn;definisjon_for_spesialister160_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad160_nb;merknad160_nn;merknad160_en;eksempel160_nb;eksempel160_nn;eksempel160_en;40;40;40;http://lenketilverdiomraade160.no;Tittel verdiområde 160;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 161_en;anbefalt term 161_nn;anbefalt term 161_nb;tillatt term 161_nb;tillatt term 161_nn;tillatt term 161_en;frarådet term 161_nb;frarådet term 161_nn;frarådet term 161_en;definisjon 161_nb;definisjon 161_nn;definisjon 161_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 161_nb;definisjon for allmennheten 161_nn;definisjon for allmennheten 161_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 161_nb;definisjon for spesialister 161_nn;definisjon_for_spesialister161_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad161_nb;merknad161_nn;merknad161_en;eksempel161_nb;eksempel161_nn;eksempel161_en;39;39;39;http://lenketilverdiomraade161.no;Tittel verdiområde 161;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 162_en;anbefalt term 162_nn;anbefalt term 162_nb;tillatt term 162_nb;tillatt term 162_nn;tillatt term 162_en;frarådet term 162_nb;frarådet term 162_nn;frarådet term 162_en;definisjon 162_nb;definisjon 162_nn;definisjon 162_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 162_nb;definisjon for allmennheten 162_nn;definisjon for allmennheten 162_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 162_nb;definisjon for spesialister 162_nn;definisjon_for_spesialister162_en;egendefinert;;;merknad162_nb;merknad162_nn;merknad162_en;eksempel162_nb;eksempel162_nn;eksempel162_en;35;35;35;http://lenketilverdiomraade162.no;Tittel verdiområde 162;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 163_en;anbefalt term 163_nn;anbefalt term 163_nb;tillatt term 163_nb;tillatt term 163_nn;tillatt term 163_en;frarådet term 163_nb;frarådet term 163_nn;frarådet term 163_en;definisjon 163_nb;definisjon 163_nn;definisjon 163_en;egendefinert;;;definisjon for allmennheten 163_nb;definisjon for allmennheten 163_nn;definisjon for allmennheten 163_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 163_nb;definisjon for spesialister 163_nn;definisjon_for_spesialister163_en;egendefinert;;;merknad163_nb;merknad163_nn;merknad163_en;eksempel163_nb;eksempel163_nn;eksempel163_en;22;22;22;http://lenketilverdiomraade163.no;Tittel verdiområde 163;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 164_en;anbefalt term 164_nn;anbefalt term 164_nb;tillatt term 164_nb;tillatt term 164_nn;tillatt term 164_en;frarådet term 164_nb;frarådet term 164_nn;frarådet term 164_en;definisjon 164_nb;definisjon 164_nn;definisjon 164_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 164_nb;definisjon for allmennheten 164_nn;definisjon for allmennheten 164_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 164_nb;definisjon for spesialister 164_nn;definisjon_for_spesialister164_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad164_nb;merknad164_nn;merknad164_en;eksempel164_nb;eksempel164_nn;eksempel164_en;34;34;34;http://lenketilverdiomraade164.no;Tittel verdiområde 164;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 165_en;anbefalt term 165_nn;anbefalt term 165_nb;tillatt term 165_nb;tillatt term 165_nn;tillatt term 165_en;frarådet term 165_nb;frarådet term 165_nn;frarådet term 165_en;definisjon 165_nb;definisjon 165_nn;definisjon 165_en;egendefinert;;;definisjon for allmennheten 165_nb;definisjon for allmennheten 165_nn;definisjon for allmennheten 165_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 165_nb;definisjon for spesialister 165_nn;definisjon_for_spesialister165_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad165_nb;merknad165_nn;merknad165_en;eksempel165_nb;eksempel165_nn;eksempel165_en;4;4;4;http://lenketilverdiomraade165.no;Tittel verdiområde 165;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 166_en;anbefalt term 166_nn;anbefalt term 166_nb;tillatt term 166_nb;tillatt term 166_nn;tillatt term 166_en;frarådet term 166_nb;frarådet term 166_nn;frarådet term 166_en;definisjon 166_nb;definisjon 166_nn;definisjon 166_en;egendefinert;;;definisjon for allmennheten 166_nb;definisjon for allmennheten 166_nn;definisjon for allmennheten 166_en;egendefinert;;;definisjon for spesialister 166_nb;definisjon for spesialister 166_nn;definisjon_for_spesialister166_en;egendefinert;;;merknad166_nb;merknad166_nn;merknad166_en;eksempel166_nb;eksempel166_nn;eksempel166_en;27;27;27;http://lenketilverdiomraade166.no;Tittel verdiområde 166;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 167_en;anbefalt term 167_nn;anbefalt term 167_nb;tillatt term 167_nb;tillatt term 167_nn;tillatt term 167_en;frarådet term 167_nb;frarådet term 167_nn;frarådet term 167_en;definisjon 167_nb;definisjon 167_nn;definisjon 167_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 167_nb;definisjon for allmennheten 167_nn;definisjon for allmennheten 167_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 167_nb;definisjon for spesialister 167_nn;definisjon_for_spesialister167_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad167_nb;merknad167_nn;merknad167_en;eksempel167_nb;eksempel167_nn;eksempel167_en;39;39;39;http://lenketilverdiomraade167.no;Tittel verdiområde 167;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 168_en;anbefalt term 168_nn;anbefalt term 168_nb;tillatt term 168_nb;tillatt term 168_nn;tillatt term 168_en;frarådet term 168_nb;frarådet term 168_nn;frarådet term 168_en;definisjon 168_nb;definisjon 168_nn;definisjon 168_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 168_nb;definisjon for allmennheten 168_nn;definisjon for allmennheten 168_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 168_nb;definisjon for spesialister 168_nn;definisjon_for_spesialister168_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad168_nb;merknad168_nn;merknad168_en;eksempel168_nb;eksempel168_nn;eksempel168_en;27;27;27;http://lenketilverdiomraade168.no;Tittel verdiområde 168;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 169_en;anbefalt term 169_nn;anbefalt term 169_nb;tillatt term 169_nb;tillatt term 169_nn;tillatt term 169_en;frarådet term 169_nb;frarådet term 169_nn;frarådet term 169_en;definisjon 169_nb;definisjon 169_nn;definisjon 169_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 169_nb;definisjon for allmennheten 169_nn;definisjon for allmennheten 169_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 169_nb;definisjon for spesialister 169_nn;definisjon_for_spesialister169_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad169_nb;merknad169_nn;merknad169_en;eksempel169_nb;eksempel169_nn;eksempel169_en;12;12;12;http://lenketilverdiomraade169.no;Tittel verdiområde 169;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 170_en;anbefalt term 170_nn;anbefalt term 170_nb;tillatt term 170_nb;tillatt term 170_nn;tillatt term 170_en;frarådet term 170_nb;frarådet term 170_nn;frarådet term 170_en;definisjon 170_nb;definisjon 170_nn;definisjon 170_en;egendefinert;;;definisjon for allmennheten 170_nb;definisjon for allmennheten 170_nn;definisjon for allmennheten 170_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 170_nb;definisjon for spesialister 170_nn;definisjon_for_spesialister170_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad170_nb;merknad170_nn;merknad170_en;eksempel170_nb;eksempel170_nn;eksempel170_en;43;43;43;http://lenketilverdiomraade170.no;Tittel verdiområde 170;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 171_en;anbefalt term 171_nn;anbefalt term 171_nb;tillatt term 171_nb;tillatt term 171_nn;tillatt term 171_en;frarådet term 171_nb;frarådet term 171_nn;frarådet term 171_en;definisjon 171_nb;definisjon 171_nn;definisjon 171_en;egendefinert;;;definisjon for allmennheten 171_nb;definisjon for allmennheten 171_nn;definisjon for allmennheten 171_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 171_nb;definisjon for spesialister 171_nn;definisjon_for_spesialister171_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad171_nb;merknad171_nn;merknad171_en;eksempel171_nb;eksempel171_nn;eksempel171_en;22;22;22;http://lenketilverdiomraade171.no;Tittel verdiområde 171;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 172_en;anbefalt term 172_nn;anbefalt term 172_nb;tillatt term 172_nb;tillatt term 172_nn;tillatt term 172_en;frarådet term 172_nb;frarådet term 172_nn;frarådet term 172_en;definisjon 172_nb;definisjon 172_nn;definisjon 172_en;egendefinert;;;definisjon for allmennheten 172_nb;definisjon for allmennheten 172_nn;definisjon for allmennheten 172_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 172_nb;definisjon for spesialister 172_nn;definisjon_for_spesialister172_en;egendefinert;;;merknad172_nb;merknad172_nn;merknad172_en;eksempel172_nb;eksempel172_nn;eksempel172_en;30;30;30;http://lenketilverdiomraade172.no;Tittel verdiområde 172;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 173_en;anbefalt term 173_nn;anbefalt term 173_nb;tillatt term 173_nb;tillatt term 173_nn;tillatt term 173_en;frarådet term 173_nb;frarådet term 173_nn;frarådet term 173_en;definisjon 173_nb;definisjon 173_nn;definisjon 173_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 173_nb;definisjon for allmennheten 173_nn;definisjon for allmennheten 173_en;egendefinert;;;definisjon for spesialister 173_nb;definisjon for spesialister 173_nn;definisjon_for_spesialister173_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad173_nb;merknad173_nn;merknad173_en;eksempel173_nb;eksempel173_nn;eksempel173_en;3;3;3;http://lenketilverdiomraade173.no;Tittel verdiområde 173;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 174_en;anbefalt term 174_nn;anbefalt term 174_nb;tillatt term 174_nb;tillatt term 174_nn;tillatt term 174_en;frarådet term 174_nb;frarådet term 174_nn;frarådet term 174_en;definisjon 174_nb;definisjon 174_nn;definisjon 174_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 174_nb;definisjon for allmennheten 174_nn;definisjon for allmennheten 174_en;egendefinert;;;definisjon for spesialister 174_nb;definisjon for spesialister 174_nn;definisjon_for_spesialister174_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad174_nb;merknad174_nn;merknad174_en;eksempel174_nb;eksempel174_nn;eksempel174_en;44;44;44;http://lenketilverdiomraade174.no;Tittel verdiområde 174;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
