anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term 67_en;anbefalt term 67_nn;anbefalt term 67_nb;tillatt term 67_nb;tillatt term 67_nn;tillatt term 67_en;frarådet term 67_nb;frarådet term 67_nn;frarådet term 67_en;definisjon 67_nb;definisjon 67_nn;definisjon 67_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 67_nb;definisjon for allmennheten 67_nn;definisjon for allmennheten 67_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 67_nb;definisjon for spesialister 67_nn;definisjon_for_spesialister67_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad67_nb;merknad67_nn;merknad67_en;eksempel67_nb;eksempel67_nn;eksempel67_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade67.no;Tittel verdiområde 67;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 68_en;anbefalt term 68_nn;anbefalt term 68_nb;tillatt term 68_nb;tillatt term 68_nn;tillatt term 68_en;frarådet term 68_nb;frarådet term 68_nn;frarådet term 68_en;definisjon 68_nb;definisjon 68_nn;definisjon 68_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 68_nb;definisjon for allmennheten 68_nn;definisjon for allmennheten 68_en;egendefinert;;;definisjon for spesialister 68_nb;definisjon for spesialister 68_nn;definisjon_for_spesialister68_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad68_nb;merknad68_nn;merknad68_en;eksempel68_nb;eksempel68_nn;eksempel68_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade68.no;Tittel verdiområde 68;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 69_en;anbefalt term 69_nn;anbefalt term 69_nb;tillatt term 69_nb;tillatt term 69_nn;tillatt term 69_en;frarådet term 69_nb;frarådet term 69_nn;frarådet term 69_en;definisjon 69_nb;definisjon 69_nn;definisjon 69_en;egendefinert;;;definisjon for allmennheten 69_nb;definisjon for allmennheten 69_nn;definisjon for allmennheten 69_en;egendefinert;;;definisjon for spesialister 69_nb;definisjon for spesialister 69_nn;definisjon_for_spesialister69_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad69_nb;merknad69_nn;merknad69_en;eksempel69_nb;eksempel69_nn;eksempel69_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade69.no;Tittel verdiområde 69;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 70_en;anbefalt term 70_nn;anbefalt term 70_nb;tillatt term 70_nb;tillatt term 70_nn;tillatt term 70_en;frarådet term 70_nb;frarådet term 70_nn;frarådet term 70_en;definisjon 70_nb;definisjon 70_nn;definisjon 70_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 70_nb;definisjon for allmennheten 70_nn;definisjon for allmennheten 70_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 70_nb;definisjon for spesialister 70_nn;definisjon_for_spesialister70_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad70_nb;merknad70_nn;merknad70_en;eksempel70_nb;eksempel70_nn;eksempel70_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade70.no;Tittel verdiområde 70;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 71_en;anbefalt term 71_nn;anbefalt term 71_nb;tillatt term 71_nb;tillatt term 71_nn;tillatt term 71_en;frarådet term 71_nb;frarådet term 71_nn;frarådet term 71_en;definisjon 71_nb;definisjon 71_nn;definisjon 71_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 71_nb;definisjon for allmennheten 71_nn;definisjon for allmennheten 71_en;egendefinert;;;definisjon for spesialister 71_nb;definisjon for spesialister 71_nn;definisjon_for_spesialister71_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad71_nb;merknad71_nn;merknad71_en;eksempel71_nb;eksempel71_nn;eksempel71_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade71.no;Tittel verdiområde 71;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 72_en;anbefalt term 72_nn;anbefalt term 72_nb;tillatt term 72_nb;tillatt term 72_nn;tillatt term 72_en;frarådet term 72_nb;frarådet term 72_nn;frarådet term 72_en;definisjon 72_nb;definisjon 72_nn;definisjon 72_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 72_nb;definisjon for allmennheten 72_nn;definisjon for allmennheten 72_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 72_nb;definisjon for spesialister 72_nn;definisjon_for_spesialister72_en;egendefinert;;;merknad72_nb;merknad72_nn;merknad72_en;eksempel72_nb;eksempel72_nn;eksempel72_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade72.no;Tittel verdiområde 72;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 73_en;anbefalt term 73_nn;anbefalt term 73_nb;tillatt term 73_nb;tillatt term 73_nn;tillatt term 73_en;frarådet term 73_nb;frarådet term 73_nn;frarådet term 73_en;definisjon 73_nb;definisjon 73_nn;definisjon 73_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 73_nb;definisjon for allmennheten 73_nn;definisjon for allmennheten 73_en;egendefinert;;;definisjon for spesialister 73_nb;definisjon for spesialister 73_nn;definisjon_for_spesialister73_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad73_nb;merknad73_nn;merknad73_en;eksempel73_nb;eksempel73_nn;eksempel73_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade73.no;Tittel verdiområde 73;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 74_en;anbefalt term 74_nn;anbefalt term 74_nb;tillatt term 74_nb;tillatt term 74_nn;tillatt term 74_en;frarådet term 74_nb;frarådet term 74_nn;frarådet term 74_en;definisjon 74_nb;definisjon 74_nn;definisjon 74_en;egendefinert;;;definisjon for allmennheten 74_nb;definisjon for allmennheten 74_nn;definisjon for allmennheten 74_en;egendefinert;;;definisjon for spesialister 74_nb;definisjon for spesialister 74_nn;definisjon_for_spesialister74_en;egendefinert;;;merknad74_nb;merknad74_nn;merknad74_en;eksempel74_nb;eksempel74_nn;eksempel74_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade74.no;Tittel verdiområde 74;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 75_en;anbefalt term 75_nn;anbefalt term 75_nb;tillatt term 75_nb;tillatt term 75_nn;tillatt term 75_en;frarådet term 75_nb;frarådet term 75_nn;frarådet term 75_en;definisjon 75_nb;definisjon 75_nn;definisjon 75_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 75_nb;definisjon for allmennheten 75_nn;definisjon for allmennheten 75_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 75_nb;definisjon for spesialister 75_nn;definisjon_for_spesialister75_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad75_nb;merknad75_nn;merknad75_en;eksempel75_nb;eksempel75_nn;eksempel75_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade75.no;Tittel verdiområde 75;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 76_en;anbefalt term 76_nn;anbefalt term 76_nb;tillatt term 76_nb;tillatt term 76_nn;tillatt term 76_en;frarådet term 76_nb;frarådet term 76_nn;frarådet term 76_en;definisjon 76_nb;definisjon 76_nn;definisjon 76_en;egendefinert;;;definisjon for allmennheten 76_nb;definisjon for allmennheten 76_nn;definisjon for allmennheten 76_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 76_nb;definisjon for spesialister 76_nn;definisjon_for_spesialister76_en;egendefinert;;;merknad76_nb;merknad76_nn;merknad76_en;eksempel76_nb;eksempel76_nn;eksempel76_en;fagområde10_nb;fagområde10_nn;fagområde10_en;http://lenketilverdiomraade76.no;Tittel verdiområde 76;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 77_en;anbefalt term 77_nn;anbefalt term 77_nb;tillatt term 77_nb;tillatt term 77_nn;tillatt term 77_en;frarådet term 77_nb;frarådet term 77_nn;frarådet term 77_en;definisjon 77_nb;definisjon 77_nn;definisjon 77_en;egendefinert;;;definisjon for allmennheten 77_nb;definisjon for allmennheten 77_nn;definisjon for allmennheten 77_en;egendefinert;;;definisjon for spesialister 77_nb;definisjon for spesialister 77_nn;definisjon_for_spesialister77_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad77_nb;merknad77_nn;merknad77_en;eksempel77_nb;eksempel77_nn;eksempel77_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade77.no;Tittel verdiområde 77;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 78_en;anbefalt term 78_nn;anbefalt term 78_nb;tillatt term 78_nb;tillatt term 78_nn;tillatt term 78_en;frarådet term 78_nb;frarådet term 78_nn;frarådet term 78_en;definisjon 78_nb;definisjon 78_nn;definisjon 78_en;egendefinert;;;definisjon for allmennheten 78_nb;definisjon for allmennheten 78_nn;definisjon for allmennheten 78_en;egendefinert;;;definisjon for spesialister 78_nb;definisjon for spesialister 78_nn;definisjon_for_spesialister78_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad78_nb;merknad78_nn;merknad78_en;eksempel78_nb;eksempel78_nn;eksempel78_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade78.no;Tittel verdiområde 78;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 79_en;anbefalt term 79_nn;anbefalt term 79_nb;tillatt term 79_nb;tillatt term 79_nn;tillatt term 79_en;frarådet term 79_nb;frarådet term 79_nn;frarådet term 79_en;definisjon 79_nb;definisjon 79_nn;definisjon 79_en;egendefinert;;;definisjon for allmennheten 79_nb;definisjon for allmennheten 79_nn;definisjon for allmennheten 79_en;egendefinert;;;definisjon for spesialister 79_nb;definisjon for spesialister 79_nn;definisjon_for_spesialister79_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad79_nb;merknad79_nn;merknad79_en;eksempel79_nb;eksempel79_nn;eksempel79_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade79.no;Tittel verdiområde 79;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 80_en;anbefalt term 80_nn;anbefalt term 80_nb;tillatt term 80_nb;tillatt term 80_nn;tillatt term 80_en;frarådet term 80_nb;frarådet term 80_nn;frarådet term 80_en;definisjon 80_nb;definisjon 80_nn;definisjon 80_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 80_nb;definisjon for allmennheten 80_nn;definisjon for allmennheten 80_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 80_nb;definisjon for spesialister 80_nn;definisjon_for_spesialister80_en;egendefinert;;;merknad80_nb;merknad80_nn;merknad80_en;eksempel80_nb;eksempel80_nn;eksempel80_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade80.no;Tittel verdiområde 80;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 81_en;anbefalt term 81_nn;anbefalt term 81_nb;tillatt term 81_nb;tillatt term 81_nn;tillatt term 81_en;frarådet term 81_nb;frarådet term 81_nn;frarådet term 81_en;definisjon 81_nb;definisjon 81_nn;definisjon 81_en;egendefinert;;;definisjon for allmennheten 81_nb;definisjon for allmennheten 81_nn;definisjon for allmennheten 81_en;egendefinert;;;definisjon for spesialister 81_nb;definisjon for spesialister 81_nn;definisjon_for_spesialister81_en;egendefinert;;;merknad81_nb;merknad81_nn;merknad81_en;eksempel81_nb;eksempel81_nn;eksempel81_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade81.no;Tittel verdiområde 81;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 82_en;anbefalt term 82_nn;anbefalt term 82_nb;tillatt term 82_nb;tillatt term 82_nn;tillatt term 82_en;frarådet term 82_nb;frarådet term 82_nn;frarådet term 82_en;definisjon 82_nb;definisjon 82_nn;definisjon 82_en;egendefinert;;;definisjon for allmennheten 82_nb;definisjon for allmennheten 82_nn;definisjon for allmennheten 82_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 82_nb;definisjon for spesialister 82_nn;definisjon_for_spesialister82_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad82_nb;merknad82_nn;merknad82_en;eksempel82_nb;eksempel82_nn;eksempel82_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade82.no;Tittel verdiområde 82;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 83_en;anbefalt term 83_nn;anbefalt term 83_nb;tillatt term 83_nb;tillatt term 83_nn;tillatt term 83_en;frarådet term 83_nb;frarådet term 83_nn;frarådet term 83_en;definisjon 83_nb;definisjon 83_nn;definisjon 83_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 83_nb;definisjon for allmennheten 83_nn;definisjon for allmennheten 83_en;egendefinert;;;definisjon for spesialister 83_nb;definisjon for spesialister 83_nn;definisjon_for_spesialister83_en;egendefinert;;;merknad83_nb;merknad83_nn;merknad83_en;eksempel83_nb;eksempel83_nn;eksempel83_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade83.no;Tittel verdiområde 83;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 84_en;anbefalt term 84_nn;anbefalt term 84_nb;tillatt term 84_nb;tillatt term 84_nn;tillatt term 84_en;frarådet term 84_nb;frarådet term 84_nn;frarådet term 84_en;definisjon 84_nb;definisjon 84_nn;definisjon 84_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 84_nb;definisjon for allmennheten 84_nn;definisjon for allmennheten 84_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 84_nb;definisjon for spesialister 84_nn;definisjon_for_spesialister84_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad84_nb;merknad84_nn;merknad84_en;eksempel84_nb;eksempel84_nn;eksempel84_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade84.no;Tittel verdiområde 84;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 85_en;anbefalt term 85_nn;anbefalt term 85_nb;tillatt term 85_nb;tillatt term 85_nn;tillatt term 85_en;frarådet term 85_nb;frarådet term 85_nn;frarådet term 85_en;definisjon 85_nb;definisjon 85_nn;definisjon 85_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 85_nb;definisjon for allmennheten 85_nn;definisjon for allmennheten 85_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 85_nb;definisjon for spesialister 85_nn;definisjon_for_spesialister85_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad85_nb;merknad85_nn;merknad85_en;eksempel85_nb;eksempel85_nn;eksempel85_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade85.no;Tittel verdiområde 85;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 86_en;anbefalt term 86_nn;anbefalt term 86_nb;tillatt term 86_nb;tillatt term 86_nn;tillatt term 86_en;frarådet term 86_nb;frarådet term 86_nn;frarådet term 86_en;definisjon 86_nb;definisjon 86_nn;definisjon 86_en;egendefinert;;;definisjon for allmennheten 86_nb;definisjon for allmennheten 86_nn;definisjon for allmennheten 86_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 86_nb;definisjon for spesialister 86_nn;definisjon_for_spesialister86_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad86_nb;merknad86_nn;merknad86_en;eksempel86_nb;eksempel86_nn;eksempel86_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade86.no;Tittel verdiområde 86;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 87_en;anbefalt term 87_nn;anbefalt term 87_nb;tillatt term 87_nb;tillatt term 87_nn;tillatt term 87_en;frarådet term 87_nb;frarådet term 87_nn;frarådet term 87_en;definisjon 87_nb;definisjon 87_nn;definisjon 87_en;egendefinert;;;definisjon for allmennheten 87_nb;definisjon for allmennheten 87_nn;definisjon for allmennheten 87_en;egendefinert;;;definisjon for spesialister 87_nb;definisjon for spesialister 87_nn;definisjon_for_spesialister87_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad87_nb;merknad87_nn;merknad87_en;eksempel87_nb;eksempel87_nn;eksempel87_en;fagområde10_nb;fagområde10_nn;fagområde10_en;http://lenketilverdiomraade87.no;Tittel verdiområde 87;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 88_en;anbefalt term 88_nn;anbefalt term 88_nb;tillatt term 88_nb;tillatt term 88_nn;tillatt term 88_en;frarådet term 88_nb;frarådet term 88_nn;frarådet term 88_en;definisjon 88_nb;definisjon 88_nn;definisjon 88_en;egendefinert;;;definisjon for allmennheten 88_nb;definisjon for allmennheten 88_nn;definisjon for allmennheten 88_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 88_nb;definisjon for spesialister 88_nn;definisjon_for_spesialister88_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad88_nb;merknad88_nn;merknad88_en;eksempel88_nb;eksempel88_nn;eksempel88_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade88.no;Tittel verdiområde 88;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 89_en;anbefalt term 89_nn;anbefalt term 89_nb;tillatt term 89_nb;tillatt term 89_nn;tillatt term 89_en;frarådet term 89_nb;frarådet term 89_nn;frarådet term 89_en;definisjon 89_nb;definisjon 89_nn;definisjon 89_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 89_nb;definisjon for allmennheten 89_nn;definisjon for allmennheten 89_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 89_nb;definisjon for spesialister 89_nn;definisjon_for_spesialister89_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad89_nb;merknad89_nn;merknad89_en;eksempel89_nb;eksempel89_nn;eksempel89_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade89.no;Tittel verdiområde 89;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
